Driver,DriverNumber,Stint,Sector1Time,Sector2Time,Sector3Time,Sector2SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,TrackStatus,Position,FastF1Generated,IsAccurate,RaceName,Year,Pitted,CompoundEncoded,LapTimeDelta,LapTimeRolling3,DegradationFromStintStart,TotalLaps,RacePctComplete,LapsRemaining,IsLateRace
ALB,23,0.00949671470496983,-1.5267356550770823,0.4412643839720466,1.2685449586738409,-0.605003159621863,0.5426594413385952,1.0361255825220979,-1.7086743147234256,0.6013815088958558,False,HARD,-0.9541436375711655,True,Williams,1,1.665522718887041,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.14505582458852773,-0.08028294917577103,0.07212474081576913,-0.3833897410864518,-0.47572383734873314,0.33623140166583076,0
ALB,23,0.00949671470496983,-1.5158933018877498,0.41136442102500653,1.331900668039433,-0.5503522679990775,0.5426594413385952,1.0578436098446522,-1.6762042408875453,0.8019469157622887,False,HARD,-0.8581719125468866,True,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.14826634069287334,-0.07611660721003755,0.08927335785416385,-0.3833897410864518,-0.41535246125891573,0.28156415809777074,0
ALB,23,0.00949671470496983,-1.5300355016999228,0.42218793702393503,1.2474263888853097,-0.4955151517157197,0.5878506663541121,1.0144075551995435,-1.6762042408875453,0.8019469157622887,True,HARD,-0.7622001875226077,True,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.04124913721460688,-0.07987571274302874,0.04443902174173366,-0.3833897410864518,-0.35498108516909804,0.22689691452971072,0
ALB,23,0.00949671470496983,-1.5322353994484827,0.4025703142758763,1.3267206414875299,-0.4410305321113023,0.5878506663541121,1.166433746457424,-1.7411443885593059,0.8019469157622887,False,HARD,-0.6662284624983288,True,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.16128676711606135,-0.08078416324683724,0.0691288980801448,-0.3833897410864518,-0.2946097090792806,0.1722296709616507,0
ALB,23,0.00949671470496983,-1.531921128341546,0.4123114786749125,1.3406668668195785,-0.386260529260813,0.6104462788618705,1.1447157191348696,-1.7411443885593059,1.4838692991081606,False,HARD,-0.5702567374740498,True,Williams,1,1.4825111209428057,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.1443423765653384,-0.08238178309835843,0.08400480683634348,-0.3833897410864518,-0.23423833298946314,0.11756242739359067,0
ALB,23,0.00949671470496983,-1.5355352460713232,0.4117703028749664,1.233878627134177,-0.33146452751290634,0.5878506663541121,1.470486128973185,-1.7411443885593059,1.6042085432280204,True,HARD,-0.4742850124497709,True,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.018240438466778496,-0.08802044139784523,0.02584413579648531,-0.3833897410864518,-0.1738669568996455,0.06289518382553064,0
ALB,23,0.00949671470496983,-1.5279927395048307,0.4671055284194892,1.269541117626129,-0.2767162911811853,0.5878506663541121,0.9058174185867717,-1.7411443885593059,0.681607671642429,False,HARD,-0.378313287425492,True,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.232096483417516,-0.0812227255590195,0.09154606613635989,-0.3833897410864518,-0.11349558080982802,0.008227940257470617,0
ALB,23,0.00949671470496983,-1.5356923816247916,0.4584467156203462,1.2727288262734555,-0.22192814956505547,0.5878506663541121,0.9492534732318805,-1.7411443885593059,0.7217207530157156,False,HARD,-0.28234156240121305,True,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.10135713316823437,-0.08197454666561614,0.08152548871031036,-0.3833897410864518,-0.05312420472001037,-0.04643930331058941,0
ALB,23,0.00949671470496983,-1.5234358084542419,0.44004673842216707,1.2757173031303233,-0.16716540222082263,0.5652550538463537,0.9709715005544348,-1.7086743147234256,0.7618338343890022,False,HARD,-0.18636983737693413,True,Williams,1,1.2994995229985702,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.11098868148127627,-0.0664369104625838,0.07708337706783389,-0.3833897410864518,0.007247171369807086,-0.10110654687864944,0
ALB,23,0.00949671470496983,-1.529878366146454,0.4482996693713502,1.2723303626925393,-0.11238149298334246,0.5878506663541121,1.0578436098446522,-1.7086743147234256,0.681607671642429,False,HARD,-0.09039811235265521,True,Williams,1,1.116487925054335,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.11919333374794461,-0.07072855594608518,0.07739329183358802,-0.3833897410864518,0.06761854745962474,-0.15577379044670947,0
ALB,23,0.00949671470496983,-1.5289355528256423,0.4350408622726627,1.283487342958178,-0.05766348792768848,0.5652550538463537,0.9926895278769892,-1.7086743147234256,0.6013815088958558,False,HARD,0.005573612671623705,True,Williams,1,1.116487925054335,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.11223721552185949,-0.07310932278364297,0.07367431464453982,-0.3833897410864518,0.127989923549442,-0.2104410340147695,0
ALB,23,0.00949671470496983,-1.5385208215872261,0.43950556262222096,1.2482233160471405,-0.0029285533574368596,0.5878506663541121,1.0578436098446522,-1.6762042408875453,0.7217207530157156,False,HARD,0.10154533769590263,True,Williams,1,0.9334763271100996,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.08209403654214296,-0.08056488209074544,0.052496805651339816,-0.3833897410864518,0.18836129963925966,-0.2651082775828295,0
ALB,23,0.00949671470496983,-1.5364780593921348,0.45059966652112293,1.2486217796280568,0.051756801920064766,0.5878506663541121,1.0795616371672065,-1.643734167051665,0.7618338343890022,False,HARD,0.19751706272018155,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.13595936229287467,-0.08507580873033595,0.0625173830773908,-0.3833897410864518,0.2487326757290773,-0.31977552115088953,0
ALB,23,0.00949671470496983,-1.5479489547953411,0.4404526202721269,1.1942315008330664,0.10635388187145108,0.5652550538463537,1.0144075551995435,-1.7086743147234256,0.5612684275225692,True,HARD,0.29348878774446047,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.04356784328996774,-0.101647198954942,0.019026010949894246,-0.3833897410864518,0.30910405181889455,-0.37444276471894955,0
ALB,23,0.00949671470496983,-1.5405635837823182,0.4267879313234796,1.197219977689934,0.16075324927735996,0.6104462788618705,1.0144075551995435,-1.6762042408875453,0.6013815088958558,True,HARD,0.3894605127687394,True,Williams,1,0.5674531312216289,False,True,Abu Dhabi,2023,0,0.6581387016773522,0.11170212950446559,-0.11301849319224351,0.014997118995090434,-0.3833897410864518,0.36947542790871224,-0.4291100082870096,0
